fuelType,model,make,createdOn
Premium,90 quattro,Audi,Tue Jan 01 00:00:00 EST 2013
Premium,318i/318is,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,325i/325is,BMW,Tue Jan 01 00:00:00 EST 2013
Regular,850ci,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,850csi,BMW,Tue Jan 01 00:00:00 EST 2013
Regular,Camaro,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Camaro,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Cavalier,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Sprint,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,LeBaron Convertible,Chrysler,Tue Jan 01 00:00:00 EST 2013
Regular,Sentra,Nissan,Tue Jan 01 00:00:00 EST 2013
Premium,300ZX 2x2,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Stealth,Dodge,Tue Jan 01 00:00:00 EST 2013
Premium,Stealth,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Summit,Eagle,Tue Jan 01 00:00:00 EST 2013
Regular,Talon,Eagle,Tue Jan 01 00:00:00 EST 2013
Regular,Voyager 2WD,Plymouth,Tue Jan 01 00:00:00 EST 2013
Premium,Talon,Eagle,Tue Jan 01 00:00:00 EST 2013
Premium,Ferrari Mondial T/Cabriolet,Ferrari,Tue Jan 01 00:00:00 EST 2013
Regular,Aspire,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Mustang,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Probe,Ford,Tue Jan 01 00:00:00 EST 2013
Premium,Probe,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Metro,Geo,Tue Jan 01 00:00:00 EST 2013
Regular,Metro XFI,Geo,Tue Jan 01 00:00:00 EST 2013
Regular,Civic,Honda,Tue Jan 01 00:00:00 EST 2013
Regular,Civic HB VX,Honda,Tue Jan 01 00:00:00 EST 2013
Regular,Prelude,Honda,Tue Jan 01 00:00:00 EST 2013
Premium,Prelude,Honda,Tue Jan 01 00:00:00 EST 2013
Regular,Excel,Hyundai,Tue Jan 01 00:00:00 EST 2013
Regular,Scoupe,Hyundai,Tue Jan 01 00:00:00 EST 2013
Premium,J30,Infiniti,Tue Jan 01 00:00:00 EST 2013
Premium,XJS Coupe,Jaguar,Tue Jan 01 00:00:00 EST 2013
Premium,XJS V12 Coupe,Jaguar,Tue Jan 01 00:00:00 EST 2013
Premium,SC 300/SC 400,Lexus,Tue Jan 01 00:00:00 EST 2013
Regular,MX-3,Mazda,Tue Jan 01 00:00:00 EST 2013
Regular,Eagle 4DR Wagon,American Motors Corporation,Tue Jan 01 00:00:00 EST 2013
Regular,MX-6,Mazda,Tue Jan 01 00:00:00 EST 2013
Premium,MX-6,Mazda,Tue Jan 01 00:00:00 EST 2013
Premium,E320 Coupe,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,Mirage,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Eclipse,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Premium,Eclipse,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,3000 GT,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Premium,3000 GT,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
